goid,gid
GO:0005634,ATCC64974_22870-T1
GO:0016787,ATCC64974_25710-T1
GO:0008270,ATCC64974_27080-T1
GO:0006355,ATCC64974_27080-T1
GO:0000981,ATCC64974_27080-T1
GO:0005634,ATCC64974_27080-T1
GO:0008171,ATCC64974_26000-T1
GO:0008168,ATCC64974_26000-T1
GO:0016614,ATCC64974_30290-T1
GO:0050660,ATCC64974_30290-T1
GO:0055114,ATCC64974_30290-T1
GO:0004386,ATCC64974_27750-T1
GO:0003676,ATCC64974_27750-T1
GO:0005524,ATCC64974_27750-T1
GO:0005515,ATCC64974_27750-T1
GO:0003824,ATCC64974_29110-T1
GO:0004351,ATCC64974_29110-T1
GO:0006536,ATCC64974_29110-T1
GO:0030170,ATCC64974_29110-T1
GO:0019752,ATCC64974_29110-T1
GO:0016831,ATCC64974_29110-T1
GO:0004553,ATCC64974_29320-T1
GO:0005975,ATCC64974_29320-T1
GO:0016491,ATCC64974_22960-T1
GO:0016491,ATCC64974_25080-T1
GO:0055114,ATCC64974_25080-T1
GO:0016620,ATCC64974_25080-T1
GO:0003824,ATCC64974_22450-T1
GO:0009116,ATCC64974_22450-T1
GO:0005385,ATCC64974_21770-T1
GO:0016021,ATCC64974_21770-T1
GO:0071577,ATCC64974_21770-T1
GO:0046873,ATCC64974_21770-T1
GO:0055085,ATCC64974_21770-T1
GO:0030001,ATCC64974_21770-T1
GO:0016020,ATCC64974_21770-T1
GO:0003676,ATCC64974_27280-T1
GO:0055085,ATCC64974_22020-T1
GO:0005887,ATCC64974_22020-T1
GO:0055114,ATCC64974_26460-T1
GO:0016491,ATCC64974_26460-T1
GO:0055085,ATCC64974_24060-T1
GO:0005887,ATCC64974_24060-T1
GO:0004190,ATCC64974_27940-T1
GO:0006508,ATCC64974_27940-T1
GO:0005871,ATCC64974_22410-T1
GO:0003777,ATCC64974_22410-T1
GO:0005515,ATCC64974_22410-T1
GO:0008270,ATCC64974_25860-T2
GO:0006355,ATCC64974_25860-T2
GO:0000981,ATCC64974_25860-T2
GO:0005634,ATCC64974_25860-T2
GO:0005515,ATCC64974_30190-T1
GO:0004672,ATCC64974_30190-T1
GO:0005524,ATCC64974_30190-T1
GO:0006468,ATCC64974_30190-T1
GO:0005739,ATCC64974_23960-T1
GO:0003676,ATCC64974_20520-T1
GO:0003676,ATCC64974_23400-T1
GO:0004563,ATCC64974_21570-T1
GO:0005975,ATCC64974_21570-T1
GO:0004553,ATCC64974_21570-T1
GO:0003824,ATCC64974_30360-T1
GO:0016020,ATCC64974_20830-T1
GO:0055085,ATCC64974_25240-T1
GO:0005887,ATCC64974_25240-T1
GO:0005515,ATCC64974_24300-T1
GO:0003950,ATCC64974_22590-T1
GO:0007165,ATCC64974_24190-T1
GO:0035556,ATCC64974_24190-T1
GO:0008270,ATCC64974_25530-T1
GO:0004089,ATCC64974_25530-T1
GO:0003899,ATCC64974_28340-T1
GO:0005634,ATCC64974_28340-T1
GO:0006351,ATCC64974_28340-T1
GO:0016021,ATCC64974_23120-T1
GO:0008270,ATCC64974_21400-T1
GO:0006355,ATCC64974_21400-T1
GO:0000981,ATCC64974_21400-T1
GO:0005634,ATCC64974_21400-T1
GO:0055114,ATCC64974_22880-T1
GO:0020037,ATCC64974_22880-T1
GO:0016705,ATCC64974_22880-T1
GO:0005506,ATCC64974_22880-T1
GO:0008270,ATCC64974_23240-T1
GO:0006355,ATCC64974_23240-T1
GO:0000981,ATCC64974_23240-T1
GO:0005634,ATCC64974_23240-T1
GO:0003677,ATCC64974_23240-T1
GO:0006351,ATCC64974_23240-T1
GO:0016020,ATCC64974_28640-T1
GO:0022857,ATCC64974_28640-T1
GO:0055085,ATCC64974_28640-T1
GO:0016021,ATCC64974_28640-T1
GO:0055085,ATCC64974_20620-T1
GO:0016021,ATCC64974_20620-T1
GO:0006812,ATCC64974_20620-T1
GO:0008324,ATCC64974_20620-T1
GO:0015369,ATCC64974_20620-T1
GO:0006816,ATCC64974_20620-T1
GO:0005783,ATCC64974_23520-T1
GO:0008270,ATCC64974_26830-T1
GO:0006355,ATCC64974_26830-T1
GO:0000981,ATCC64974_26830-T1
GO:0005634,ATCC64974_26830-T1
GO:0055085,ATCC64974_27040-T1
GO:0016491,ATCC64974_27520-T1
GO:0055114,ATCC64974_27520-T1
GO:0016020,ATCC64974_29780-T1
GO:0022857,ATCC64974_29780-T1
GO:0055085,ATCC64974_29780-T1
GO:0016021,ATCC64974_29780-T1
GO:0005047,ATCC64974_20890-T1
GO:0006614,ATCC64974_20890-T1
GO:0030942,ATCC64974_20890-T1
GO:0005786,ATCC64974_20890-T1
GO:0008312,ATCC64974_20890-T1
GO:0003723,ATCC64974_20890-T1
GO:0006412,ATCC64974_23360-T1
GO:0030956,ATCC64974_23360-T1
GO:0050567,ATCC64974_23360-T1
GO:0016811,ATCC64974_28840-T1
GO:0016021,ATCC64974_28840-T1
GO:0006672,ATCC64974_28840-T1
GO:0005789,ATCC64974_27770-T1
GO:0006561,ATCC64974_21860-T1
GO:0055114,ATCC64974_21860-T1
GO:0004735,ATCC64974_21860-T1
GO:0003824,ATCC64974_22030-T1
GO:0046873,ATCC64974_27200-T1
GO:0055085,ATCC64974_27200-T1
GO:0030001,ATCC64974_27200-T1
GO:0016020,ATCC64974_27200-T1
GO:0005385,ATCC64974_27200-T1
GO:0016021,ATCC64974_27200-T1
GO:0071577,ATCC64974_27200-T1
GO:0005634,ATCC64974_27740-T1
GO:0016020,ATCC64974_26470-T1
GO:0022857,ATCC64974_26470-T1
GO:0055085,ATCC64974_26470-T1
GO:0055085,ATCC64974_27950-T1
GO:0016021,ATCC64974_27950-T1
GO:0006355,ATCC64974_23330-T1
GO:0003700,ATCC64974_23330-T1
GO:0016798,ATCC64974_25520-T1
GO:0071555,ATCC64974_25520-T1
GO:0005618,ATCC64974_25520-T1
GO:0005975,ATCC64974_25520-T1
GO:0004553,ATCC64974_25520-T1
GO:0004065,ATCC64974_28830-T1
GO:0018958,ATCC64974_28830-T1
GO:0003824,ATCC64974_28830-T1
GO:0008484,ATCC64974_28830-T1
GO:0016491,ATCC64974_29930-T1
GO:0007165,ATCC64974_30320-T1
GO:0005515,ATCC64974_24970-T1
GO:0051082,ATCC64974_27630-T1
GO:0031072,ATCC64974_27630-T1
GO:0006457,ATCC64974_27630-T1
GO:0055085,ATCC64974_22090-T1
GO:0005887,ATCC64974_22090-T1
GO:0055114,ATCC64974_27560-T1
GO:0016491,ATCC64974_27560-T1
GO:0005615,ATCC64974_21380-T1
GO:0008270,ATCC64974_21380-T1
GO:0004222,ATCC64974_21380-T1
GO:0055085,ATCC64974_23140-T1
GO:0005887,ATCC64974_23140-T1
GO:0008061,ATCC64974_26570-T1
GO:0005975,ATCC64974_26570-T1
GO:0004553,ATCC64974_26570-T1
GO:0005515,ATCC64974_26690-T1
GO:0043531,ATCC64974_26690-T1
GO:0009116,ATCC64974_26690-T1
GO:0003824,ATCC64974_26690-T1
GO:0003676,ATCC64974_27680-T1
GO:0005634,ATCC64974_27680-T1
GO:0008270,ATCC64974_27680-T1
GO:0003677,ATCC64974_27680-T1
GO:0006351,ATCC64974_27680-T1
GO:0016846,ATCC64974_29170-T1
GO:0016020,ATCC64974_29820-T1
GO:0022857,ATCC64974_29820-T1
GO:0055085,ATCC64974_29820-T1
GO:0016491,ATCC64974_24270-T1
GO:0055114,ATCC64974_24270-T1
GO:0008270,ATCC64974_24270-T1
GO:0016787,ATCC64974_20560-T1
GO:0005507,ATCC64974_22740-T1
GO:0016491,ATCC64974_22740-T1
GO:0055114,ATCC64974_22740-T1
GO:0003676,ATCC64974_25900-T1
GO:0004523,ATCC64974_25900-T1
GO:0005515,ATCC64974_27660-T1
GO:0046556,ATCC64974_23190-T1
GO:0046373,ATCC64974_23190-T1
GO:0005524,ATCC64974_27880-T1
GO:0005737,ATCC64974_27880-T1
GO:0006433,ATCC64974_27880-T1
GO:0004827,ATCC64974_27880-T1
GO:0000166,ATCC64974_27880-T1
GO:0004812,ATCC64974_27880-T1
GO:0006418,ATCC64974_27880-T1
GO:0016787,ATCC64974_29790-T1
GO:0020037,ATCC64974_21820-T1
GO:0055114,ATCC64974_21820-T1
GO:0006979,ATCC64974_21820-T1
GO:0004096,ATCC64974_21820-T1
GO:0046872,ATCC64974_28400-T1
